Sample,Timestamp,Elapsed_s,X_m,Y_m,Heading_deg,Command_X,Command_Y,Command_Z,Motion,LocalizationValid
106,09:35:00,22.68800000002375,2.119595112997086,-0.007693706652509011,-34.29999923706055,0.0,0.25,0.0,FORWARD,True
107,09:35:01,22.89100000000326,2.1627281731517147,-0.03372987978368875,-28.060001373291016,0.0,0.25,0.0,FORWARD,True
108,09:35:01,23.094000000040978,2.1627281731517147,-0.03372987978368875,-27.979999542236328,0.0,0.25,0.0,FORWARD,True
109,09:35:01,23.31300000002375,2.1855335434949845,-0.021313023814698944,-27.98999786376953,0.0,0.25,0.0,FORWARD,True
110,09:35:01,23.53200000000652,2.209822325578835,-0.007190867497710407,-27.84000015258789,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
111,09:35:01,23.735000000044238,2.2517298361591287,0.010173712279207284,-27.009998321533203,0.0,0.25,0.0,FORWARD,True
112,09:35:02,23.969000000040978,2.284622255390116,0.0016264188428940624,-21.360000610351562,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
113,09:35:02,24.17200000002049,2.3082666732639683,0.016997253878168653,-20.349998474121094,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
114,09:35:02,24.375,2.346140356723596,0.003296216891853331,-15.079998016357422,0.0,0.25,0.0,FORWARD,True
115,09:35:02,24.57900000002701,2.3454035568745737,-0.004127656159549871,-11.520000457763672,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
116,09:35:03,24.79700000002049,2.3653222483555383,0.005843928930976467,-8.900001525878906,0.0,0.25,0.0,FORWARD,True
117,09:35:03,25.0,2.406822836114211,-0.02445606754712657,-2.969999313354492,0.0,0.25,0.0,FORWARD,True
118,09:35:03,25.219000000040978,2.413272180907168,-0.021760273919555883,-1.789999008178711,0.0,0.25,0.0,FORWARD,True
119,09:35:03,25.43800000002375,2.4532292260971182,-0.04333089727287568,1.7700004577636719,0.0,0.25,0.0,FORWARD,True
120,09:35:03,25.64100000000326,2.4532292260971182,-0.04333089727287568,2.470001220703125,0.0,0.25,0.0,FORWARD,True
121,09:35:04,25.844000000040978,2.4741092288531257,-0.05157357343195674,2.6100006103515625,0.0,0.25,0.0,FORWARD,True
122,09:35:04,26.04700000002049,2.494405714554741,-0.05560256460708428,2.5,0.0,0.25,0.0,FORWARD,True
123,09:35:04,26.25,2.514251706985155,-0.05000936426888512,2.4200000762939453,0.0,0.25,0.0,FORWARD,True
124,09:35:04,26.469000000040978,2.541054997791887,-0.0528641189939482,2.4099998474121094,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
125,09:35:04,26.67200000002049,2.550033947678685,-0.04880868107147265,2.4099998474121094,0.0,0.25,0.0,FORWARD,True
126,09:35:05,26.875,2.5635848987533776,-0.0630022329380501,5.790000915527344,0.0,0.25,0.0,FORWARD,True
127,09:35:05,27.07900000002701,2.584673672177345,-0.07413176933250161,7.6399993896484375,0.0,0.25,0.0,FORWARD,True
128,09:35:05,27.28200000000652,2.619253818748671,-0.0919255278596176,7.670000076293945,0.0,0.25,0.0,FORWARD,True
129,09:35:05,27.485000000044238,2.628192528852895,-0.09267493679829815,7.540000915527344,0.0,0.25,0.0,FORWARD,True
130,09:35:05,27.68800000002375,2.6581075495466973,-0.10019240105537965,7.370000839233398,0.0,0.25,0.0,FORWARD,True
131,09:35:06,27.89100000000326,2.675769405581997,-0.09116863785892936,7.3899993896484375,0.0,0.25,0.0,FORWARD,True
