Sample,Elapsed_s,X_m,Y_m,Heading_deg,Command_X,Command_Y,Command_Z,LidarLocalizationValid
68,8.39000000001397,0.8557542426853482,-0.020350280100873485,0.1300048828125,0.0,0.25,0.0,True
69,8.5,0.8673921711221304,-0.020734695423943596,0.2100067138671875,0.0,0.25,0.0,True
70,8.625,0.8783107486926134,-0.020978149232189387,0.19000244140625,0.0,0.25,0.0,True
71,8.71799999999348,0.8898293860644447,-0.021153279489030487,0.1800079345703125,0.0,0.25,0.0,True
72,8.827999999979511,0.9017077858746414,-0.021397947939272858,0.25,0.0,0.25,0.0,True
73,8.936999999976251,0.9116661263031063,-0.021777117933912852,0.100006103515625,0.0,0.25,0.0,True
74,9.077999999979511,0.9336242501824413,-0.022032185991924604,0.1399993896484375,0.0,0.25,0.0,True
75,9.186999999976251,0.9461020241723246,-0.022618621240056813,0.19000244140625,0.0,0.25,0.0,True
76,9.295999999972992,0.9570199578066404,-0.023003319136877174,0.1999969482421875,0.0,0.25,0.0,True
77,9.452999999979511,0.9830564357778617,-0.023565828510043307,0.1800079345703125,0.0,0.25,0.0,True
78,9.561999999976251,0.9940947402451618,-0.023876307261424295,0.1699981689453125,0.0,0.25,0.0,True
79,9.670999999972992,1.005373106378059,-0.024185006709437205,0.160003662109375,0.0,0.25,0.0,True
80,9.795999999972992,1.0171307671319672,-0.024638751121385385,0.1300048828125,0.0,0.25,0.0,True
81,9.920999999972992,1.026970908948658,-0.024387383386162385,0.1800079345703125,0.0,0.25,0.0,True
82,10.03100000001723,1.0394489207649504,-0.024704573931725503,0.1699981689453125,0.0,0.25,0.0,True
83,10.14000000001397,1.0633247129940289,-0.025518367931637937,0.100006103515625,0.0,0.25,0.0,True
84,10.26500000001397,1.074603358800074,-0.02581214664546804,0.05999755859375,0.0,0.25,0.0,True
85,10.375,1.086122399915305,-0.025961225322151907,0.05999755859375,0.0,0.25,0.0,True
86,10.5,1.0981215846896542,-0.02610166521341932,-0.0399932861328125,0.0,0.25,0.0,True
87,10.625,1.1107207984237328,-0.026301330411306317,-0.019989013671875,0.0,0.25,0.0,True
88,10.73399999999674,1.122120063512375,-0.026504053046928454,-0.0099945068359375,0.0,0.25,0.0,True
89,10.85899999999674,1.1456386106884562,-0.02675378010331491,-0.1100006103515625,0.0,0.25,0.0,True
90,11.0,1.1555981636182815,-0.02694743318050616,-0.0699920654296875,0.0,0.25,0.0,True
